price_in_rp,city,property_condition,land_size_m2,building_size_m2,electricity_mah,electricity,bedrooms,bathrooms,furnishing,facilities,swimming_pool,park,jogging_track
495000000,Bekasi,baru,86,45,1300 mah,"1,300",2,1,unfurnished,"Jogging Track, Track Lari, Kolam Renang, Masjid, Keamanan 24 jam, Taman, Kolam Renang, CCTV, Ac, AC, Masjid, CCTV, Jalur Telepon, Keamanan",Swimming Pool,Park,Jogging Track
275000000,Bekasi,baru,60,36,3500 mah,"3,500",2,1,semi furnished,"Jalur Telepon, Ac, Jogging Track, Track Lari, Masjid, Keamanan 24 jam, Taman, Taman, AC, Masjid, CCTV, Jalur Telepon, Keamanan",No Swimming Pool,Park,Jogging Track
300000000,Bekasi,bagus,70,70,1300 mah,"1,300",2,2,semi furnished,"Tempat Jemuran, Track Lari, Akses Parkir, One Gate System, Kolam Renang, Masjid, Keamanan 24 jam, Taman, Tempat Laundry, CCTV, Playground, Wastafel, Jalur Telepon",Swimming Pool,Park,Jogging Track
1440000000,Bekasi,baru,55,60,2200 mah,"2,200",2,2,semi furnished,"Track Lari, Kolam Renang, Kitchen Set, Taman, CCTV, Taman, Wastafel, Jogging Track, CCTV, Keamanan, Lapangan Basket",Swimming Pool,Park,Jogging Track
764000000,Bekasi,baru,78,83,2200 mah,"2,200",3,3,unfurnished,"Track Lari, One Gate System, Keamanan 24 jam, CCTV, Playground, Taman, CCTV",No Swimming Pool,Park,Jogging Track
1200000000,Bekasi,baru,120,90,2200 mah,"2,200",1,2,furnished,"Tempat Jemuran, Ac, Mesin Cuci, Track Lari, AC, Taman, CCTV, Kulkas, Wastafel, Jogging Track, Masjid, Keamanan, Kitchen Set",No Swimming Pool,Park,Jogging Track
764000000,Bekasi,baru,78,83,2200 mah,"2,200",3,3,unfurnished,"Track Lari, One Gate System, Akses Parkir, Keamanan 24 jam, Taman, CCTV, Taman, Playground, CCTV",No Swimming Pool,Park,Jogging Track
495000000,Bekasi,baru,86,45,1300 mah,"1,300",2,1,semi furnished,"Jalur Telepon, Jogging Track, Track Lari, Kolam Renang, Masjid, Keamanan 24 jam, Kolam Renang, Taman, CCTV, Ac, AC, Masjid, CCTV, Jalur Telepon, Keamanan",Swimming Pool,Park,Jogging Track
1500000000,Bekasi,baru,100,136,2200 mah,"2,200",4,3,semi furnished,"Jalur Telepon, Ac, Kolam Renang, Taman, Jogging Track, Masjid, CCTV, Keamanan",Swimming Pool,Park,Jogging Track
300000000,Bekasi,baru,60,36,1300 mah,"1,300",2,1,unfurnished,"Jogging Track, Taman, Masjid, CCTV, Keamanan",No Swimming Pool,Park,Jogging Track
365000000,Bekasi,baru,60,36,1300 mah,"1,300",2,1,unfurnished,"CCTV, Keamanan, Keamanan 24 jam",No Swimming Pool,No Park,No Jogging Track
350000000,Bekasi,baru,60,38,1300 mah,"1,300",2,1,unfurnished,"Tempat Jemuran, Jogging Track, Lapangan Bola, Track Lari, Keamanan 24 jam, Kulkas, Taman, Playground, One Gate System, Keamanan",No Swimming Pool,Park,Jogging Track
351000000,Bekasi,baru,60,38,1300 mah,"1,300",2,1,unfurnished,"Tempat Jemuran, Lapangan Bola, Keamanan 24 jam, One Gate System, Keamanan",No Swimming Pool,No Park,No Jogging Track
393000000,Bekasi,bagus,60,36,1300 mah,"1,300",2,1,unfurnished,"Masjid, Playground, Track Lari, Jogging Track",No Swimming Pool,No Park,Jogging Track
392000000,Bekasi,baru,72,36,1300 mah,"1,300",2,1,unfurnished,Tempat Jemuran,No Swimming Pool,No Park,No Jogging Track
440000000,Bekasi,baru,66,36,1300 mah,"1,300",2,1,semi furnished,"Tempat Jemuran, Akses Parkir, One Gate System, Masjid, Kitchen Set, Keamanan 24 jam, Wastafel, Jalur Telepon",No Swimming Pool,Park,No Jogging Track
351000000,Bekasi,baru,60,38,1300 mah,"1,300",2,1,unfurnished,"Tempat Jemuran, Lapangan Bola, Keamanan",No Swimming Pool,No Park,No Jogging Track
401000000,Bekasi,baru,66,38,1300 mah,"1,300",2,1,semi furnished,"Jogging Track, Taman, Masjid, Jalur Telepon, Keamanan",No Swimming Pool,Park,Jogging Track
1990000000,Bekasi,bagus,160,216,4400 mah,"4,400",4,4,unfurnished,"Jalur Telepon, Taman",No Swimming Pool,Park,No Jogging Track
1150000000,Bekasi,bagus sekali,126,126,2200 mah,"2,200",3,2,unfurnished,"Jogging Track, Track Lari, Kolam Renang, Masjid, Keamanan 24 jam, Taman, Ac, Taman, AC, Masjid, Keamanan",Swimming Pool,Park,Jogging Track
3200000000,Bekasi,bagus,376,700,3300 mah,"3,300",5,4,furnished,"Jogging Track, Kolam Renang, Ac, Taman, Masjid, Keamanan",Swimming Pool,Park,Jogging Track
950000000,Bekasi,bagus,66,87,2200 mah,"2,200",3,2,unfurnished,"Keamanan, Taman",No Swimming Pool,Park,No Jogging Track
1500000000,Bekasi,bagus,126,80,2200 mah,"2,200",2,2,unfurnished,"Keamanan, Taman",No Swimming Pool,Park,No Jogging Track
1250000000,Bekasi,baru,84,56,2200 mah,"2,200",2,2,unfurnished,Keamanan,No Swimming Pool,No Park,No Jogging Track
1200000000,Bekasi,sudah renovasi,152,200,2200 mah,"2,200",5,3,unfurnished,"Tempat Jemuran, Kitchen Set, Jalur Telepon, Keamanan 24 jam",No Swimming Pool,No Park,No Jogging Track
3200000000,Bekasi,bagus sekali,376,700,3300 mah,"3,300",5,5,semi furnished,"Keamanan, Taman",No Swimming Pool,Park,No Jogging Track
850000000,Bekasi,bagus,90,60,2200 mah,"2,200",2,1,unfurnished,"Tempat Jemuran, Track Lari, One Gate System, Akses Parkir, Keamanan 24 jam, Taman, Wastafel, AC",No Swimming Pool,Park,Jogging Track
1280000000,Bekasi,bagus,139,120,2200 mah,"2,200",3,2,unfurnished,"Masjid, Keamanan 24 jam",No Swimming Pool,No Park,No Jogging Track
895000000,Bekasi,baru,58,90,2200 mah,"2,200",3,3,semi furnished,"Jogging Track, Masjid, Taman, Keamanan",No Swimming Pool,Park,Jogging Track
1450000000,Bekasi,bagus,131,225,2200 mah,"2,200",4,3,unfurnished,"Tempat Jemuran, Lapangan Bola, Track Lari, Masjid, Keamanan 24 jam, Taman, Keamanan",No Swimming Pool,Park,Jogging Track
1300000000,Bekasi,bagus,126,90,2200 mah,"2,200",2,1,unfurnished,"Keamanan, Taman, Jogging Track, AC",No Swimming Pool,Park,Jogging Track
690000000,Bekasi,bagus,90,60,1300 mah,"1,300",2,2,unfurnished,Keamanan,No Swimming Pool,No Park,No Jogging Track
950000000,Bekasi,bagus,90,120,2200 mah,"2,200",2,1,unfurnished,"Taman, One Gate System, Keamanan 24 jam",No Swimming Pool,Park,No Jogging Track
1350000000,Bekasi,bagus,90,160,4400 mah,"4,400",4,3,unfurnished,Keamanan 24 jam,No Swimming Pool,No Park,No Jogging Track
1000000000,Bekasi,bagus,138,120,2200 mah,"2,200",3,2,unfurnished,"AC, Masjid, Kitchen Set, Keamanan 24 jam, Pemanas Air, Taman",No Swimming Pool,Park,No Jogging Track
2850000000,Bekasi,sudah renovasi,160,216,2200 mah,"2,200",3,3,unfurnished,"Tempat Jemuran, Track Lari, Keamanan 24 jam, Taman, Wastafel",No Swimming Pool,Park,Jogging Track
1150000000,Bekasi,bagus,78,52,2200 mah,"2,200",3,2,unfurnished,"Track Lari, Kolam Renang, Masjid, Keamanan 24 jam, Taman, Taman, Jogging Track, Keamanan",Swimming Pool,Park,Jogging Track
342000000,Bekasi,baru,36,63,1300 mah,"1,300",2,1,unfurnished,"Tempat Jemuran, Taman, CCTV, Taman, Ac, Wastafel, AC, CCTV, Keamanan",No Swimming Pool,Park,No Jogging Track
327000000,Bekasi,baru,36,60,1300 mah,"1,300",2,1,unfurnished,"Tempat Jemuran, Ac, CCTV, Taman, Wastafel, AC, Keamanan",No Swimming Pool,Park,No Jogging Track
975000000,Bekasi,bagus,90,70,2200 mah,"2,200",2,1,unfurnished,"Jogging Track, Track Lari, Kolam Renang, Masjid, Keamanan 24 jam, Kolam Renang, Taman, Taman, Masjid, Keamanan",Swimming Pool,Park,Jogging Track
975000000,Bekasi,bagus,90,70,2200 mah,"2,200",3,2,unfurnished,"Tempat Jemuran, Jogging Track, Track Lari, One Gate System, Keamanan 24 jam, Taman, Playground, Keamanan",No Swimming Pool,Park,Jogging Track
1370000000,Bekasi,bagus,105,100,2200 mah,"2,200",4,3,semi furnished,"Tempat Jemuran, Track Lari, One Gate System, AC, Kitchen Set, Akses Parkir, Keamanan 24 jam, Taman, CCTV, Playground, Wastafel, Jalur Telepon",No Swimming Pool,Park,Jogging Track
1370000000,Bekasi,bagus,105,100,2200 mah,"2,200",4,3,unfurnished,"Tempat Jemuran, Jogging Track, Track Lari, One Gate System, Keamanan 24 jam, Taman, Playground, Keamanan",No Swimming Pool,Park,Jogging Track
2150000000,Bekasi,bagus,144,157,3500 mah,"3,500",3,3,unfurnished,AC,No Swimming Pool,No Park,No Jogging Track
2150000000,Bekasi,bagus,144,157,2200 mah,"2,200",3,3,unfurnished,AC,No Swimming Pool,No Park,No Jogging Track
2150000000,Bekasi,bagus,144,157,2200 mah,"2,200",3,3,unfurnished,AC,No Swimming Pool,No Park,No Jogging Track
1200000000,Bekasi,bagus,126,94,1300 mah,"1,300",3,2,unfurnished,Keamanan 24 jam,No Swimming Pool,No Park,No Jogging Track
1550000000,Bekasi,bagus,114,228,2200 mah,"2,200",2,3,unfurnished,"Tempat Jemuran, Keamanan, Taman",No Swimming Pool,Park,No Jogging Track
1250000000,Bekasi,bagus,108,69,2200 mah,"2,200",2,2,unfurnished,"Masjid, Keamanan",No Swimming Pool,No Park,No Jogging Track
168000000,Bekasi,baru,60,29,1300 mah,"1,300",2,1,unfurnished,"Masjid, Lapangan Bola, Taman, Wastafel",No Swimming Pool,Park,No Jogging Track
1400000000,Bekasi,bagus,144,77,2200 mah,"2,200",3,1,unfurnished,"Lapangan Bola, One Gate System, Lapangan Voli, Keamanan 24 jam, Taman, Keamanan, Lapangan Basket",No Swimming Pool,Park,No Jogging Track
799000000,Bekasi,bagus,77,140,3500 mah,"3,500",3,2,semi furnished,"Ac, AC",No Swimming Pool,No Park,No Jogging Track
779000000,Bekasi,baru,54,63,2200 mah,"2,200",3,2,unfurnished,"Tempat Jemuran, Akses Parkir, One Gate System, Masjid, Keamanan 24 jam, Taman, CCTV, Playground, Wastafel, Masjid, CCTV, Jalur Telepon, Keamanan",No Swimming Pool,Park,No Jogging Track
775000000,Bekasi,bagus,66,60,2200 mah,"2,200",2,1,unfurnished,"Track Lari, Keamanan 24 jam, Taman",No Swimming Pool,Park,Jogging Track
2150000000,Bekasi,bagus,144,157,3500 mah,"3,500",3,3,unfurnished,"Tempat Jemuran, AC, Track Lari, One Gate System, Kolam Renang, Akses Parkir, Keamanan 24 jam, Taman, CCTV, Ac, Taman, Playground, Wastafel, Jogging Track, Keamanan",Swimming Pool,Park,Jogging Track
779000000,Bekasi,baru,63,53,2200 mah,"2,200",1,1,unfurnished,"Lapangan Bulu Tangkis, Track Lari, One Gate System, Akses Parkir, Keamanan 24 jam, Taman, CCTV",No Swimming Pool,Park,Jogging Track
1750000000,Bekasi,baru,179,56,2200 mah,"2,200",2,2,unfurnished,"Tempat Jemuran, Lapangan Bulu Tangkis, One Gate System, Keamanan 24 jam, Taman, Playground, Wastafel, Keamanan",No Swimming Pool,Park,No Jogging Track
750000000,Bekasi,bagus,94,75,2200 mah,"2,200",2,1,unfurnished,"Tempat Jemuran, Lapangan Bulu Tangkis, Lapangan Tenis, Masjid, Keamanan 24 jam, Taman, Tempat Laundry, Wastafel, Jogging Track, Masjid, Jalur Telepon, Keamanan, Track Lari",No Swimming Pool,Park,Jogging Track
1250000000,Bekasi,sudah renovasi,125,136,3500 mah,"3,500",5,4,semi furnished,"Jalur Telepon, Keamanan 24 jam",No Swimming Pool,No Park,No Jogging Track
870000000,Bekasi,bagus,94,70,1300 mah,"1,300",3,2,unfurnished,"Masjid, Taman, Keamanan, Kolam Renang",Swimming Pool,Park,No Jogging Track
1500000000,Bekasi,bagus,126,80,2200 mah,"2,200",2,2,unfurnished,Keamanan 24 jam,No Swimming Pool,No Park,No Jogging Track
1500000000,Bekasi,bagus,105,105,2200 mah,"2,200",3,2,unfurnished,"Keamanan 24 jam, Taman",No Swimming Pool,Park,No Jogging Track
4300000000,Bekasi,bagus,325,200,3500 mah,"3,500",4,4,unfurnished,"Playground, Keamanan 24 jam, One Gate System",No Swimming Pool,No Park,No Jogging Track
1300000000,Bekasi,bagus,90,90,2200 mah,"2,200",2,2,unfurnished,"Keamanan 24 jam, Taman",No Swimming Pool,Park,No Jogging Track
1300000000,Bekasi,bagus,90,90,3500 mah,"3,500",2,2,unfurnished,"Keamanan 24 jam, Taman",No Swimming Pool,Park,No Jogging Track
1800000000,Bekasi,sudah renovasi,133,80,2200 mah,"2,200",2,2,unfurnished,"Jalur Telepon, Keamanan 24 jam",No Swimming Pool,No Park,No Jogging Track
520000000,Bekasi,butuh renovasi,36,60,1300 mah,"1,300",3,1,unfurnished,"Keamanan 24 jam, Masjid, Keamanan, Taman",No Swimming Pool,Park,No Jogging Track
1300000000,Bekasi,bagus,84,56,2200 mah,"2,200",2,2,semi furnished,"Keamanan, Taman",No Swimming Pool,Park,No Jogging Track
685000000,Bekasi,bagus,94,110,2200 mah,"2,200",2,1,unfurnished,"Masjid, Keamanan 24 jam",No Swimming Pool,No Park,No Jogging Track
930000000,Bekasi,bagus,105,70,1300 mah,"1,300",2,1,unfurnished,"Masjid, Keamanan 24 jam",No Swimming Pool,No Park,No Jogging Track
685000000,Bekasi,bagus,94,110,3500 mah,"3,500",2,1,unfurnished,"Masjid, Keamanan 24 jam",No Swimming Pool,No Park,No Jogging Track
2100000000,Bekasi,baru,180,150,3500 mah,"3,500",4,3,unfurnished,"Track Lari, Keamanan, Taman, Jogging Track",No Swimming Pool,Park,Jogging Track
520000000,Bekasi,butuh renovasi,60,45,1300 mah,"1,300",3,1,unfurnished,"Akses Parkir, One Gate System, Masjid, Keamanan 24 jam, Taman, Playground",No Swimming Pool,Park,No Jogging Track
520000000,Bekasi,butuh renovasi,60,45,1300 mah,"1,300",3,1,unfurnished,"Akses Parkir, One Gate System, Masjid, Keamanan 24 jam, Taman, Playground",No Swimming Pool,Park,No Jogging Track
1200000000,Bekasi,baru,119,63,2200 mah,"2,200",2,1,unfurnished,"Jogging Track, Track Lari, Masjid, Keamanan 24 jam, Taman, CCTV, Taman, CCTV, Keamanan",No Swimming Pool,Park,Jogging Track
1200000000,Bekasi,bagus,119,63,2200 mah,"2,200",2,1,unfurnished,"Keamanan 24 jam, Keamanan, Taman",No Swimming Pool,Park,No Jogging Track
2170000000,Bekasi,bagus,144,121,2200 mah,"2,200",1,1,unfurnished,"Keamanan 24 jam, Keamanan, One Gate System, Kolam Renang",Swimming Pool,No Park,No Jogging Track
1450000000,Bekasi,bagus,131,225,2200 mah,"2,200",4,3,unfurnished,"Tempat Jemuran, Lapangan Tenis, Masjid, Akses Parkir, Kitchen Set, Taman, Taman",No Swimming Pool,Park,No Jogging Track
1200000000,Bekasi,baru,90,53,2200 mah,"2,200",2,2,unfurnished,"One Gate System, Jalur Telepon, Keamanan 24 jam, Akses Parkir",No Swimming Pool,Park,No Jogging Track
